"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 11월 10일","46.54","46.50","46.78","45.97","99.80K","-0.62%"
"2020년 11월 09일","46.83","49.09","49.35","46.59","213.11K","2.41%"
"2020년 11월 06일","45.73","45.09","45.99","44.94","130.33K","1.44%"
"2020년 11월 05일","45.08","44.00","45.10","44.00","236.58K","2.88%"
"2020년 11월 04일","43.82","43.09","43.84","42.29","158.65K","2.45%"
"2020년 11월 03일","42.77","41.68","42.80","41.50","181.35K","4.67%"
"2020년 11월 02일","40.86","40.51","41.05","40.47","71.23K","1.41%"
"2020년 10월 30일","40.29","39.89","40.39","39.67","45.74K","-0.69%"
"2020년 10월 29일","40.57","40.40","40.60","39.50","184.09K","1.83%"
"2020년 10월 28일","39.84","40.60","40.67","39.71","111.11K","-2.90%"
"2020년 10월 27일","41.03","40.90","41.14","40.55","291.25K","0.98%"
"2020년 10월 26일","40.63","41.19","41.28","40.41","65.15K","-1.46%"
"2020년 10월 23일","41.23","41.30","41.48","41.09","35.02K","-0.15%"
"2020년 10월 22일","41.29","41.41","41.90","41.02","44.02K","-0.51%"
"2020년 10월 21일","41.50","41.65","41.88","41.36","148.59K","0.12%"
"2020년 10월 20일","41.45","41.20","41.68","41.20","54.00K","0.83%"
"2020년 10월 19일","41.11","41.16","41.55","40.92","111.88K","0.98%"
"2020년 10월 16일","40.71","41.05","41.29","40.71","39.28K","-0.53%"
"2020년 10월 15일","40.92","40.73","40.97","40.40","28.62K","-0.60%"
"2020년 10월 14일","41.17","41.21","41.63","41.05","29.99K","0.22%"
"2020년 10월 13일","41.08","41.38","41.69","41.02","71.61K","-1.34%"
"2020년 10월 12일","41.64","42.24","42.36","41.56","88.02K","-0.43%"
"2020년 10월 09일","41.82","41.94","42.15","41.61","132.64K","2.85%"
"2020년 10월 08일","40.66","40.39","40.90","40.27","107.94K","1.53%"
"2020년 10월 07일","40.05","39.53","40.20","39.53","196.25K","1.75%"
"2020년 10월 06일","39.36","40.24","40.25","39.18","232.99K","-0.23%"
"2020년 10월 05일","39.45","38.48","39.59","38.47","397.88K","5.20%"
"2020년 10월 04일","37.50","37.50","37.50","37.50","-","0.00%"
"2020년 10월 03일","37.50","37.50","37.50","37.50","-","0.00%"
"2020년 10월 02일","37.50","36.87","37.99","36.50","517.06K","-1.70%"
"2020년 10월 01일","38.15","38.47","38.50","38.06","260.33K","1.17%"
"2020년 09월 30일","37.71","37.65","38.24","37.40","455.21K","0.16%"
"2020년 09월 29일","37.65","37.60","37.83","37.17","182.98K","0.51%"
"2020년 09월 28일","37.46","37.40","37.72","37.04","380.04K","0.64%"
"2020년 09월 27일","37.22","37.22","37.22","37.22","-","0.00%"
"2020년 09월 26일","37.22","37.22","37.22","37.22","-","0.00%"
"2020년 09월 25일","37.22","37.06","37.30","36.43","351.90K","-0.37%"
"2020년 09월 24일","37.36","37.54","37.69","36.65","656.50K","-1.94%"
"2020년 09월 23일","38.10","39.59","39.80","38.01","697.15K","-4.44%"
"2020년 09월 22일","39.87","40.41","40.47","39.54","61.79K","-1.51%"
"2020년 09월 21일","40.48","40.72","41.02","39.65","143.68K","-3.11%"
"2020년 09월 18일","41.78","41.60","41.89","41.40","291.98K","1.68%"
"2020년 09월 17일","41.09","40.50","41.16","40.28","255.17K","1.13%"
"2020년 09월 16일","40.63","40.80","41.06","40.56","95.76K","0.17%"
"2020년 09월 15일","40.56","40.58","40.75","40.36","148.25K","0.30%"
"2020년 09월 14일","40.44","39.84","40.46","39.80","121.66K","2.15%"
"2020년 09월 13일","39.59","39.59","39.59","39.59","-","0.00%"
"2020년 09월 11일","39.59","39.64","39.87","39.29","55.48K","0.97%"
"2020년 09월 10일","39.21","40.39","40.67","39.20","356.26K","-3.07%"
"2020년 09월 09일","40.45","40.12","40.60","40.10","117.60K","0.85%"
"2020년 09월 08일","40.11","40.50","40.78","39.98","186.10K","-2.15%"
"2020년 09월 04일","40.99","40.51","41.22","39.54","200.78K","1.01%"
"2020년 09월 03일","40.58","41.35","41.35","40.25","196.82K","-2.41%"
"2020년 09월 02일","41.58","41.38","41.58","41.11","155.27K","0.53%"
"2020년 09월 01일","41.36","41.35","41.38","41.15","74.60K","0.80%"
"2020년 08월 31일","41.03","41.71","41.71","40.79","203.14K","-1.37%"
"2020년 08월 30일","41.60","41.60","41.60","41.60","-","0.00%"
"2020년 08월 28일","41.60","41.36","41.71","41.31","132.09K","0.97%"
"2020년 08월 27일","41.20","41.63","41.98","40.68","292.31K","0.71%"
"2020년 08월 26일","40.91","40.80","41.09","40.57","372.24K","-1.02%"
"2020년 08월 25일","41.33","41.73","41.73","41.21","204.93K","-1.38%"
"2020년 08월 24일","41.91","41.43","42.20","41.43","289.34K","1.43%"
"2020년 08월 23일","41.32","41.32","41.32","41.32","-","0.00%"
"2020년 08월 21일","41.32","41.38","42.00","41.11","64.22K","-1.15%"
"2020년 08월 20일","41.80","41.36","42.54","41.34","47.26K","0.55%"
"2020년 08월 19일","41.57","42.12","42.30","41.30","224.48K","-2.10%"
"2020년 08월 18일","42.46","42.93","43.15","42.19","71.61K","-0.61%"
"2020년 08월 17일","42.72","42.72","42.98","42.25","60.55K","1.98%"
