,Date,REMX
478,22/02/17,105.81
479,22/02/18,105.9
480,22/02/22,102.93
481,22/02/23,103.6
482,22/02/24,104.22
483,22/02/25,110.31
484,22/02/28,110.76
485,22/03/01,106.99
486,22/03/02,110.59
487,22/03/03,108.66
488,22/03/04,105.22
489,22/03/07,101.43
490,22/03/08,100.89
491,22/03/09,104.69
492,22/03/10,104.74
493,22/03/11,102.78
494,22/03/14,97.7
495,22/03/15,97.43
496,22/03/16,103.51
497,22/03/17,104.85
498,22/03/18,108.84
499,22/03/21,110.63
500,22/03/22,114.53
501,22/03/23,114.04
502,22/03/24,116.97
503,22/03/25,116.8
504,22/03/28,114.81
505,22/03/29,117.54
506,22/03/30,117.9
507,22/03/31,118.28
