Date,KS200,Gold_x,REMX,AAPL,TSMC,USD/KRW,Gold_y
2021-05-26,423.54,1913.5,80.69,126.85,116.0,1116.61,68430
2021-05-27,423.0,1909.1,82.36,125.28,115.77,1118.55,68270
2021-05-28,425.95,1915.3,83.48,124.61,117.36,1113.08,67750
2021-06-01,430.32,1914.7,85.64,124.28,118.51,1108.38,68130
2021-06-02,430.15,1919.2,86.83,125.06,118.95,1110.92,67870
2021-06-03,433.87,1882.5,85.75,123.54,116.82,1116.46,67900
2021-06-04,432.22,1901.2,88.15,125.89,119.51,1110.52,67220
2021-06-07,433.26,1908.0,87.02,125.9,118.22,1110.62,67400
2021-06-08,432.88,1903.7,85.29,126.74,115.92,1117.72,67960
2021-06-09,428.16,1904.6,84.23,127.13,117.13,1115.61,67840
2021-06-10,429.35,1905.5,84.15,126.11,118.24,1112.32,67640
2021-06-11,432.78,1888.5,84.42,127.35,118.25,1116.4,67910
2021-06-14,433.22,1874.8,84.46,130.48,120.99,1116.33,66810
2021-06-15,434.13,1865.3,81.86,129.64,119.45,1117.09,67090
2021-06-16,436.96,1870.2,79.82,130.15,118.02,1132.68,66850
2021-06-17,434.73,1783.6,78.51,131.79,119.12,1134.3,65840
2021-06-18,435.02,1778.3,78.86,130.46,115.79,1134.94,64980
2021-06-21,431.46,1792.1,79.22,132.3,114.14,1131.4,64860
2021-06-22,434.42,1786.6,80.07,133.98,114.33,1133.57,64910
2021-06-23,436.73,1792.7,81.85,133.7,116.05,1135.85,65190
2021-06-24,438.38,1786.1,82.83,133.41,117.24,1130.78,64830
2021-06-25,440.4,1787.2,83.45,133.11,116.53,1127.12,64530
2021-06-28,439.98,1789.8,82.92,134.78,119.61,1130.04,64810
2021-06-29,437.54,1772.6,82.82,136.33,120.23,1131.62,64400
2021-06-30,438.84,1780.8,84.96,136.96,120.16,1130.48,63650
2021-07-01,436.34,1786.0,83.83,137.27,118.42,1134.33,64770
2021-07-02,436.0,1792.4,84.95,139.96,118.91,1130.53,64880
