날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 08월 05일,306.64,303.94,306.67,302.91,210.81M,1.19%
2020년 08월 04일,303.04,302.5,304.27,301.48,219.87M,1.20%
2020년 08월 03일,299.46,299.57,300.33,297.57,179.73M,0.05%
2020년 07월 31일,299.32,303.69,304.16,298.89,201.96M,-0.84%
2020년 07월 30일,301.85,303.13,304.13,301.49,191.76M,0.20%
2020년 07월 29일,301.25,300.57,303.51,299.61,264.44M,0.37%
2020년 07월 28일,300.13,296.53,301.34,296.38,301.28M,2.26%
2020년 07월 27일,293.51,291.03,295.26,290.82,193.24M,0.98%
2020년 07월 24일,290.66,289.84,292.74,289.42,216.21M,-0.58%
2020년 07월 23일,292.37,293.62,293.62,290.49,250.98M,-0.57%
2020년 07월 22일,294.04,294.71,296.14,293.39,327.32M,-0.38%
2020년 07월 21일,295.16,294.03,296.11,293.2,366.99M,1.50%
2020년 07월 20일,290.81,292.76,292.76,289.01,161.82M,-0.26%
2020년 07월 17일,291.57,289.9,292.1,289.9,118.64M,0.80%
2020년 07월 16일,289.25,292.34,292.74,288.46,129.45M,-1.03%
2020년 07월 15일,292.27,292.94,294.42,290.89,168.35M,0.91%
2020년 07월 14일,289.63,288.42,289.63,286.89,126.30M,-0.07%
2020년 07월 13일,289.84,287.92,290.49,286.86,127.05M,1.68%
2020년 07월 10일,285.06,287.87,288.09,283.51,136.77M,-0.76%
2020년 07월 09일,287.25,287.8,289.41,287.08,140.61M,0.45%
2020년 07월 08일,285.97,287.2,288.41,285.18,119.45M,-0.28%
2020년 07월 07일,286.77,292.74,292.98,286.76,156.13M,-1.32%
2020년 07월 06일,290.62,286.84,291.14,286.31,128.12M,1.65%
2020년 07월 03일,285.89,285.59,286.09,283.36,100.22M,0.72%
2020년 07월 02일,283.86,281.3,283.89,280.71,111.37M,1.28%
2020년 07월 01일,280.26,283.1,283.84,279.44,133.80M,0.06%
2020년 06월 30일,280.09,282.55,283.98,280.09,179.50M,0.74%
2020년 06월 29일,278.04,279.36,281.77,277.06,137.76M,-1.88%
2020년 06월 26일,283.38,283.36,284.58,280.65,169.01M,1.30%
2020년 06월 25일,279.73,282.38,284.36,279.73,152.98M,-2.43%
2020년 06월 24일,286.7,283.71,288.3,283.3,200.57M,1.69%
2020년 06월 23일,281.94,284.64,286.04,279.26,163.68M,0.18%
2020년 06월 22일,281.42,281.01,283.71,280.34,139.84M,-0.69%
2020년 06월 19일,283.37,284.56,284.7,278.53,189.13M,0.52%
2020년 06월 18일,281.91,281.74,283.39,280.02,181.59M,-0.39%
2020년 06월 17일,283.02,282.08,284.9,278.33,337.22M,0.15%
2020년 06월 16일,282.59,275.89,282.59,274,247.89M,5.46%
2020년 06월 15일,267.95,278.61,280.87,267.95,262.44M,-4.91%
2020년 06월 12일,281.78,276.97,282.54,276.05,232.83M,-2.37%
2020년 06월 11일,288.62,289.98,292.08,284.29,275.90M,-1.12%
2020년 06월 10일,291.9,291.03,292.92,289.6,229.07M,0.20%
2020년 06월 09일,291.32,293.96,294.87,287.83,268.57M,0.19%
2020년 06월 08일,290.77,295.41,295.68,289.71,286.66M,0.05%
2020년 06월 05일,290.62,286.3,291.5,284.5,282.06M,1.46%
2020년 06월 04일,286.45,291.17,292.9,284.93,364.58M,0.19%
2020년 06월 03일,285.91,279.14,287.49,278.98,476.50M,3.56%
2020년 06월 02일,276.08,272.65,276.47,272.22,251.03M,1.06%
2020년 06월 01일,273.19,269.29,273.39,268.93,171.51M,1.81%
2020년 05월 29일,268.32,266.62,269.61,265.23,269.47M,0.01%
2020년 05월 28일,268.29,270.17,271.44,264.85,248.93M,0.24%
2020년 05월 27일,267.64,266.71,269.17,265.86,247.18M,0.12%
2020년 05월 26일,267.31,263.48,267.31,262.95,175.42M,1.73%
2020년 05월 25일,262.76,260.95,262.82,259.16,125.43M,1.21%
2020년 05월 22일,259.62,263.82,264.07,258.34,166.03M,-1.56%
2020년 05월 21일,263.74,264.52,264.85,263.07,159.48M,0.39%
2020년 05월 20일,262.72,260.48,263.25,260.48,140.30M,0.36%
2020년 05월 19일,261.79,261.12,262.34,259.96,253.33M,2.49%
2020년 05월 18일,255.44,254.55,256.31,252.95,223.00M,0.65%
2020년 05월 15일,253.79,255.34,255.49,252.02,228.90M,0.06%
2020년 05월 14일,253.65,253.26,254.39,252.09,167.64M,-0.86%
2020년 05월 13일,255.85,250.03,255.85,249.95,141.25M,0.98%
2020년 05월 12일,253.37,255.33,255.56,250.98,166.80M,-0.62%
2020년 05월 11일,254.95,257.67,258.87,254.59,144.30M,-0.65%
2020년 05월 08일,256.62,256.66,258.29,256.23,125.22M,0.85%
2020년 05월 07일,254.46,253.88,256.14,253.37,114.36M,-0.21%
2020년 05월 06일,255,253.76,255.01,251.26,133.28M,1.76%
2020년 05월 04일,250.6,252.44,253.7,250.34,174.04M,-2.92%
2020년 04월 29일,258.15,256.58,259.67,256.04,184.48M,0.69%
2020년 04월 28일,256.39,255.91,257.34,253.22,172.42M,0.61%
2020년 04월 27일,254.84,251.18,255.79,250.61,151.36M,1.82%
2020년 04월 24일,250.28,252.47,252.86,249.19,154.31M,-1.36%
2020년 04월 23일,253.74,253.42,255.22,251.58,163.81M,0.74%
2020년 04월 22일,251.88,246.16,252.18,244.56,184.50M,0.99%
2020년 04월 21일,249.4,250.26,251.88,245.11,257.16M,-1.09%
2020년 04월 20일,252.14,253.85,255.93,251.46,211.00M,-1.13%
2020년 04월 17일,255.02,252.52,257.37,252.38,287.36M,3.21%
2020년 04월 16일,247.1,244.99,247.87,243.61,197.54M,-0.14%
2020년 04월 14일,247.45,246.2,248.55,244.58,193.12M,1.66%
2020년 04월 13일,243.4,246.59,246.9,243.39,195.90M,-1.85%
2020년 04월 10일,248,245.14,248.21,244.02,286.11M,0.97%
2020년 04월 09일,245.61,246.13,246.46,243.11,175.94M,1.54%
2020년 04월 08일,241.89,243.71,246.99,241.77,173.12M,-1.22%
2020년 04월 07일,244.87,245.65,247.39,240.68,224.45M,1.69%
2020년 04월 06일,240.81,234.4,241.19,233.75,190.74M,3.93%
2020년 04월 03일,231.7,232.48,234.45,229.23,181.04M,-0.06%
2020년 04월 02일,231.84,227.47,232.22,223.6,181.79M,2.43%
2020년 04월 01일,226.35,234.23,237.52,226.34,228.58M,-4.42%
2020년 03월 31일,236.82,235.2,237.47,232.5,240.44M,1.88%
2020년 03월 30일,232.45,227.05,234.7,225.09,167.23M,-0.57%
