Date,Close,Open,High,Low,Volume,Change
2021-01-08,430.22,412.06,431.99,412.06,499110000.0,0.0472
2021-01-11,431.13,431.69,449.04,424.16,545780000.0,0.0021
2021-01-12,427.87,430.8,432.04,416.29,362360000.0,-0.0076
2021-01-13,430.38,427.98,433.27,424.97,303670000.0,0.0059
2021-01-14,429.85,430.43,431.54,427.13,284700000.0,-0.0012
2021-01-15,420.43,430.37,436.35,420.33,279520000.0,-0.0219
2021-01-18,410.5,419.7,419.7,408.69,289240000.0,-0.0236
2021-01-19,421.35,410.21,423.82,409.67,259930000.0,0.0264
2021-01-20,424.01,425.17,429.39,419.27,259500000.0,0.0063
2021-01-21,430.27,425.29,431.05,424.64,302480000.0,0.0148
2021-01-22,427.13,430.73,433.84,427.13,269260000.0,-0.0073
2021-01-25,437.3,427.64,437.96,427.17,231210000.0,0.023799999999999998
2021-01-26,426.73,436.27,437.19,425.64,236600000.0,-0.0242
2021-01-27,423.67,427.11,432.62,423.23,205610000.0,-0.0072
2021-01-28,416.4,422.92,422.92,413.34,242940000.0,-0.0172
2021-01-29,404.56,417.92,421.05,402.94,305300000.0,-0.028399999999999998
2021-02-01,415.45,404.71,415.53,400.59,235010000.0,0.0269
2021-02-02,421.03,416.77,427.63,416.77,219040000.0,0.0134
2021-02-03,425.21,422.69,427.51,419.75,248280000.0,0.009899999999999999
2021-02-04,418.31,425.92,426.23,415.58,263570000.0,-0.016200000000000003
2021-02-05,423.3,419.84,424.2,417.85,221560000.0,0.011899999999999999
2021-02-08,418.95,422.3,424.62,418.37,229540000.0,-0.0103
2021-02-09,417.91,420.71,424.94,417.87,201530000.0,-0.0025
2021-02-10,419.65,418.4,421.48,414.77,184760000.0,0.0042
2021-02-15,427.01,420.85,428.64,420.6,191240000.0,0.0175
2021-02-16,429.24,427.8,432.25,426.73,176070000.0,0.0052
2021-02-17,424.2,429.2,429.24,421.77,230410000.0,-0.011699999999999999
2021-02-18,417.44,423.92,425.38,417.44,181370000.0,-0.0159
2021-02-19,420.94,417.98,421.36,411.58,246860000.0,0.0084
2021-02-22,416.88,421.96,425.9,416.8,272970000.0,-0.0096
2021-02-23,415.82,415.07,419.58,410.84,228350000.0,-0.0025
2021-02-24,407.16,415.78,420.05,406.86,252630000.0,-0.0208
2021-02-25,422.52,412.05,422.56,412.05,200310000.0,0.0377
2021-02-26,409.91,421.19,421.19,406.59,297500000.0,-0.0298
2021-03-02,414.8,411.0,422.41,411.0,229890000.0,0.011899999999999999
2021-03-03,420.27,414.45,420.27,412.4,198310000.0,0.0132
2021-03-04,414.17,419.34,419.34,411.28,214040000.0,-0.014499999999999999
2021-03-05,412.0,413.32,413.78,405.93,293660000.0,-0.0052
2021-03-08,408.34,412.86,416.37,407.6,216890000.0,-0.0089
2021-03-09,405.79,407.33,408.83,399.37,313260000.0,-0.0062
2021-03-10,403.48,406.37,411.22,402.37,172530000.0,-0.005699999999999999
2021-03-11,411.02,404.36,413.24,404.36,231920000.0,0.0187
2021-03-12,416.13,413.67,417.76,413.67,184660000.0,0.0124
2021-03-15,414.18,416.58,417.69,413.61,161310000.0,-0.004699999999999999
2021-03-16,417.31,414.82,418.06,414.11,155160000.0,0.0076
2021-03-17,414.01,417.35,417.67,411.32,132770000.00000001,-0.0079
2021-03-18,417.06,414.97,420.86,414.97,164060000.0,0.0074
2021-03-19,412.91,416.7,416.71,410.59,189020000.0,-0.01
2021-03-22,412.64,412.92,414.48,410.27,270010000.0,-0.0007000000000000001
2021-03-23,408.71,412.89,416.15,408.4,234500000.0,-0.0095
2021-03-24,407.1,407.32,408.76,404.03,193070000.0,-0.0039000000000000003
2021-03-25,408.53,407.03,411.27,405.59,180930000.0,0.0034999999999999996
2021-03-26,412.89,409.16,413.04,409.13,305210000.0,0.010700000000000001
2021-03-29,412.05,413.9,414.72,410.45,312520000.0,-0.002
2021-03-30,416.61,412.32,417.44,412.32,207510000.0,0.0111
2021-03-31,415.04,417.12,420.18,415.04,225860000.0,-0.0038
2021-04-01,419.42,416.99,419.78,416.51,184610000.0,0.0106
2021-04-02,423.74,422.19,425.13,422.02,163070000.0,0.0103
2021-04-05,424.85,425.15,426.31,422.16,157710000.0,0.0026
2021-04-06,425.88,425.18,427.68,423.35,162960000.0,0.0024
2021-04-07,426.7,426.22,428.38,424.96,176730000.0,0.0019
2021-04-08,426.86,426.73,427.32,424.36,221930000.0,0.0004
2021-04-09,424.3,427.26,428.65,423.33,166990000.0,-0.006
2021-04-12,424.22,424.73,426.62,423.1,134970000.0,-0.0002
2021-04-13,429.08,424.4,429.84,423.89,162000000.0,0.0115
2021-04-14,430.71,429.14,431.65,428.04,154420000.0,0.0038
2021-04-15,432.66,430.41,434.4,430.39,189530000.0,0.0045000000000000005
2021-04-16,432.43,432.43,434.57,430.98,188080000.0,-0.0005
2021-04-19,431.96,432.74,434.28,431.16,172930000.0,-0.0011
2021-04-20,434.6,431.9,434.7,431.38,185750000.0,0.0060999999999999995
2021-04-21,426.75,433.4,433.47,425.93,187760000.0,-0.0181
2021-04-22,427.37,427.06,430.44,427.06,202880000.0,0.0015
2021-04-23,428.34,426.68,428.87,422.92,215680000.0,0.0023
2021-04-26,432.36,428.89,432.36,428.68,244080000.0,0.009399999999999999
2021-04-27,432.14,432.46,433.43,430.36,216230000.0,-0.0005
2021-04-28,427.48,432.2,432.82,426.88,261380000.0,-0.0108
2021-04-29,426.28,428.07,430.14,424.83,231940000.0,-0.0028000000000000004
2021-04-30,422.36,426.61,426.83,421.73,255790000.0,-0.0092
2021-05-03,420.36,422.54,426.3,419.3,234400000.0,-0.004699999999999999
2021-05-04,423.57,420.99,423.57,418.53,208970000.0,0.0076
2021-05-06,426.64,423.62,426.64,421.25,313800000.0,0.0072
2021-05-07,428.56,426.51,429.94,426.0,229120000.0,0.0045000000000000005
2021-05-10,435.63,429.04,436.73,429.04,255440000.0,0.0165
2021-05-11,428.77,434.14,434.14,427.21,301800000.0,-0.015700000000000002
2021-05-12,421.86,428.74,428.96,419.11,295190000.0,-0.0161
2021-05-13,416.07,419.6,421.07,414.28,379120000.0,-0.0137
2021-05-14,420.17,417.5,421.75,417.5,199290000.0,0.009899999999999999
2021-05-17,418.27,421.97,423.19,416.08,207000000.0,-0.0045000000000000005
2021-05-18,423.09,418.28,423.93,418.28,174860000.0,0.0115
2021-05-20,421.68,423.38,423.38,419.07,181880000.0,-0.0033
2021-05-21,422.08,423.12,427.75,420.7,196320000.0,0.0009
2021-05-24,420.57,421.92,423.09,419.38,177690000.0,-0.0036
2021-05-25,424.35,421.91,424.83,421.2,176020000.0,0.009000000000000001
2021-05-26,423.54,424.46,426.05,422.55,199310000.0,-0.0019
2021-05-27,423.0,423.92,424.38,419.78,311200000.0,-0.0013
2021-05-28,425.95,423.88,427.51,423.58,203180000.0,0.006999999999999999
2021-05-31,427.91,426.31,428.18,424.29,230910000.0,0.0046
2021-06-01,430.32,428.08,432.18,426.94,225690000.0,0.005600000000000001
2021-06-02,430.15,430.6,433.06,429.14,292520000.0,-0.0004
2021-06-03,433.87,430.2,435.6,430.2,219810000.0,0.0086
2021-06-04,432.22,433.7,433.7,429.33,290320000.0,-0.0038
2021-06-07,433.26,432.82,435.77,430.76,337930000.0,0.0024
2021-06-08,432.88,433.21,435.02,431.71,323680000.0,-0.0009
2021-06-09,428.16,432.35,432.53,428.16,248520000.0,-0.0109
2021-06-10,429.35,428.23,430.87,427.5,267079999.99999997,0.0028000000000000004
2021-06-11,432.78,429.61,433.42,429.61,328900000.0,0.008
2021-06-14,433.22,432.7,433.59,431.28,236260000.0,0.001
2021-06-15,434.13,433.41,434.99,432.48,336100000.0,0.0021
2021-06-16,436.96,434.19,437.47,433.88,306890000.0,0.006500000000000001
2021-06-17,434.73,436.61,436.63,432.78,200550000.0,-0.0051
2021-06-18,435.02,434.82,436.69,434.39,230150000.0,0.0007000000000000001
2021-06-21,431.46,434.57,434.57,429.52,242430000.0,-0.008199999999999999
2021-06-22,434.42,432.1,435.05,432.1,483820000.0,0.0069
2021-06-23,436.73,434.65,437.37,434.62,372080000.0,0.0053
2021-06-24,438.38,437.54,439.37,436.96,299670000.0,0.0038
2021-06-25,440.4,438.76,442.31,438.75,367170000.0,0.0046
2021-06-28,439.98,440.78,441.54,438.55,237760000.0,-0.001
2021-06-29,437.54,440.48,440.6,436.17,231750000.0,-0.0055000000000000005
2021-06-30,438.84,437.76,440.4,437.7,167360000.0,0.003
2021-07-01,436.34,439.01,439.26,435.8,172560000.0,-0.005699999999999999
2021-07-02,436.0,436.31,438.07,435.54,197300000.0,-0.0008
2021-07-05,437.66,436.53,438.92,436.53,180180000.0,0.0038
2021-07-06,439.5,437.96,440.68,437.96,194160000.0,0.0042
